PLAYER NAME,Scoring Average,Total Strokes Gained,GIR Percentage,Putts Per Hole,Scrambling Percentage,Hit Fairway Percentage,Driving Accuracy Percentage,Driving Distance,Expected Score from Fairway
Sam Ryder,70.71,-14.804,68.09,1.623,54.05,60.78,61.83,297.2,Under
Harris English,69.62,76.772,65.76,1.572,64.02,64.04,64.29,299.4,1 Under
Danny Lee,71.54,-29.297,64.78,1.637,53.74,59.67,59.31,298.5,Over
Marc Leishman,70.88,3.281,65.72,1.616,59.28,58,58.46,293.8,1 Under
Sepp Straka,70.28,10.565,66.84,1.606,57.07,56.11,57.61,303.2,1 Under
Andrew Putnam,70.48,1.979,66.1,1.61,62.98,61.52,61.59,283.8,1 Under
Brendan Steele,71.13,7.721,65.42,1.615,57.93,62.62,61.98,299.3,Under
Bubba Watson,70.96,32.473,67.95,1.659,56.53,58.84,59.92,304.6,Under
Rob Oppenheim,70.77,-18.213,63.81,1.586,61,63.45,64.6,284.2,1 Under
Zach Johnson,70.33,48.825,66.87,1.61,58.88,61.44,62.5,289,1 Under
Adam Schenk,70.36,15.058,67.37,1.617,61.6,61.09,60.9,299.5,1 Under
